id,text
784609194234306560,Here is my statement.pic.twitter.com/WAZiGoQqMQ
785608815962099712,Is this really America? Terrible!pic.twitter.com/WiwC61PIFu
784840992734064640,"The media and establishment want me out of the race so badly -  I WILL NEVER DROP OUT OF THE RACE, WILL NEVER LET MY SUPPORTERS DOWN! #MAGA"
784767399442653184,Certainly has been an interesting 24 hours!
785561269571026944,"Debate polls look great - thank you!
#MAGA #AmericaFirstpic.twitter.com/4peQ3Sswdz"
786950598826532864,"WHAT THEY ARE SAYING ABOUT THE CLINTON CAMPAIGN’S ANTI-CATHOLIC BIGOTRY: 
http://bit.ly/2dcbtvkCrooked "
786589172911964160,Thank you! #MAGA #AmericaFirstpic.twitter.com/fG313wjlKm
786340623804751872,"I will be in Cincinnati, Ohio tomorrow night at 7:30pm- join me! #OhioVotesEarly #VoteTrumpPence16 
Tickets: https://www.donaldjtrump.com/schedule/register/cincinnati-oh2/ …pic.twitter.com/XUFuGc4Fg5"
786201435486781440,Very little pick-up by the dishonest media of incredible information provided by WikiLeaks. So dishonest! Rigged system!
786054986534969344,Thank you Florida- a MOVEMENT that has never been seen before and will never be seen again. Lets get out & #VoteTrumpPence16 on 11/8! #MAGApic.twitter.com/e90a2AL7vO
785885793340448768,"The very foul mouthed Sen. John McCain begged for my support during his  primary (I gave, he won), then dropped me over locker room remarks!"
785854588654092288,Disloyal R's are far more difficult than Crooked Hillary. They come at you from all sides. They don’t know how to win - I will teach them!
785846205750337536,With the exception of cheating Bernie out of the nom the Dems have always proven to be far more loyal to each other than the Republicans!
785842546878578688,It is so nice that the shackles have been taken off me and I can now fight for America the way I want to.
785828772423561216,"Our very weak and ineffective leader, Paul Ryan, had a bad conference call where his members went wild at his disloyalty."
785816454042124288,"Despite winning the second debate in a landslide (every poll), it is hard to do well when Paul Ryan and others give zero support!"
785563318652178432,"Wow, @CNN got caught fixing their ""focus group"" in order to make Crooked Hillary look better. Really pathetic and totally dishonest!"
785293229390454784,".@HillaryClinton is NOT above the law!
#Debates2016pic.twitter.com/4arYZcGgYZ"
785274843042230272,"My team of deplorables will be taking over my Twitter account for tonight's #debate
#MakeAmericaGreatAgain"
785120729364922368,So many self-righteous hypocrites. Watch their poll numbers - and elections - go down!
783455640643514368,"Wow, did you just hear Bill Clinton's statement on how bad ObamaCare is. Hillary not happy. As I have been saying, REPEAL AND REPLACE!"
783391423663964160,I will be watching the great Governor @Mike_Pence and live tweeting the VP debate tonight starting at 8:30pm est! Enjoy!
782728287718150144,Just announced that Iraq (U.S.) is preparing for battle to reclaim Mosul. Why do they have to announce this? Makes mission much harder!
782701472685420544,"Melania and I extend our warmest greetings to those observing Rosh Hashanah here in the United States, in Israel, and around the world."
782698760514207744,Bernie should pull his endorsement of Crooked Hillary after she decieved him and then attacked him and his supporters.
